sessionId;kwhTotal;startTime;endTime;chargeTimeHrs;userId
1218571;6.08;17;21;4.2075;97867440
1413774;6.57;12;15;2.503055556;97867440
6911510;5.57;12;15;3.225555556;97867440
8312688;6.57;12;15;2.775555556;97867440
3300067;5.52;12;15;3.193611111;97867440
9162594;6.32;12;15;3.411944444;97867440
3257014;5.65;12;15;2.620555556;97867440
5075871;6.12;17;21;4.318888889;97867440
1420415;6.7;17;21;3.826388889;97867440
6782716;6.9;12;16;3.128611111;97867440
4438961;6.19;14;17;3.520833333;97867440
7004214;6.51;12;15;2.580833333;97867440
5954651;6.28;12;15;2.627222222;97867440
5706503;6.22;12;15;2.714444444;97867440
1131719;6.05;12;15;3.173333333;97867440
3728340;6.68;12;15;2.823055556;97867440
9998167;6.41;12;15;3.058055556;97867440
2407671;6.14;12;18;6.293888889;97867440
2253366;6.97;12;15;3.2575;97867440
9187633;6.93;12;16;3.793888889;97867440
1934640;6.93;12;15;3;97867440
4578343;6.89;12;15;3.269722222;97867440
4541949;6.28;12;16;3.428055556;97867440
1921311;6.98;12;15;3.113611111;97867440
3751236;7.02;14;17;2.631111111;97867440
2920778;7.03;13;15;2.958333333;97867440
4342521;7.03;12;16;3.289722222;97867440
4429498;6.83;12;16;3.370833333;97867440
9239932;7.12;12;16;3.436944444;97867440
6198413;6.72;12;15;2.9725;97867440
6880401;6.9;12;15;2.588888889;97867440
4830439;6.94;12;16;3.293611111;97867440
2326907;6.92;12;15;2.821111111;97867440
5577655;6.84;12;16;3.196388889;97867440
8522652;7.11;12;16;3.213055556;97867440
4469933;6.73;12;15;3.121944444;97867440
6991114;6.84;13;16;3.106111111;97867440
7817917;6.94;12;15;2.744166667;97867440
5045622;6.74;13;16;3.116111111;97867440
7614796;0;15;15;0.023611111;97867440
5357155;6.95;15;18;2.773055556;97867440
2323371;6.94;13;15;2.519444444;97867440
9014128;12.92;12;15;2.266388889;90692118
2401306;7.97;16;20;3.949444444;90692118
4442463;17.19;12;15;2.970833333;90692118
1004821;3.02;16;19;3.054166667;90692118
4872813;7.24;16;18;1.276944444;90692118
