Days;Time;Slow1;Slow2;Fast1;Fast2
22/03/2017;12:45;0,10000000;0,24000000;0,25720000;0,09440000
22/03/2017;13:00;0,05000000;0,10000000;0,26520000;0,10200000
22/03/2017;13:15;0,05000000;0,05000000;0,26520000;0,09460000
22/03/2017;13:30;0,10000000;0,05000000;0,22980000;0,08640000
22/03/2017;13:45;0,15000000;0,09000000;0,20780000;0,12080000
22/03/2017;14:00;0,20000000;0,17000000;0,16540000;0,13560000
22/03/2017;14:15;0,20000000;0,33000000;0,17340000;0,12160000
22/03/2017;14:30;0,15000000;0,33000000;0,16600000;0,07980000
22/03/2017;14:45;0,10000000;0,20000000;0,15940000;0,06580000
22/03/2017;15:00;0,05000000;0,10000000;0,14560000;0,05100000
22/03/2017;15:15;0,10000000;0,05000000;0,14480000;0,04360000
22/03/2017;15:30;0,10000000;0,10000000;0,14420000;0,05100000
22/03/2017;15:45;0,10000000;0,10000000;0,15080000;0,04360000
22/03/2017;16:00;0,10000000;0,05000000;0,14360000;0,03700000
22/03/2017;16:15;0,15000000;0,05000000;0,12960000;0,05180000
22/03/2017;16:30;0,10000000;0,10000000;0,08620000;0,04440000
22/03/2017;16:45;0,10000000;0,20000000;0,05740000;0,02960000
22/03/2017;17:00;0,10000000;0,28000000;0,07140000;0,02220000
22/03/2017;17:15;0,05000000;0,33000000;0,07140000;0,02220000
22/03/2017;17:30;0,09000000;0,28000000;0,06400000;0,01480000
22/03/2017;17:45;0,04000000;0,20000000;0,05000000;0,00740000
22/03/2017;18:00;0,04000000;0,10000000;0,02060000;0,00740000
22/03/2017;18:15;0,14000000;0,15000000;0,03520000;0,00740000
22/03/2017;18:30;1,06000000;0,62000000;0,31900000;0,57380000
22/03/2017;18:45;1,85000000;1,38000000;0,57260000;1,07980000
22/03/2017;19:00;3,05000000;1,64000000;0,79820000;1,66260000
22/03/2017;19:15;2,47000000;0,98000000;0,70660000;1,49800000
22/03/2017;19:30;1,59000000;0,44000000;0,56360000;1,26820000
22/03/2017;19:45;1,09000000;0,14000000;0,38740000;0,79040000
